Country_name,Country_code,Days,Cost_of _living(CL),Class,Ticket_price, CL(Rounded)
China,156,15,20143.72,1,926994,20144
Christmas Island,162,15,13950.33,1,45000,13950
Colombia,170,15,13950.33,1,182320,13950
Congo,178,15,51320,1,260494,51320
Costa Rica,188,15,23391.815,1,17716,23392
Curacao,599,15,33395.695,1,200294,33396
Croatia,191,15,26901.085,1,123840,26901
Cuba,192,15,21721.195,1,223550,21721
Cyprus,196,15,29464.09,1,130634,29464
Czech Republic,203,15,23785.735,1,110424,23786
Denmark,208,15,39960.555,1,78260,39961
Djibouti,262,15,46624.52,1,131838,46625
Dominica,212,15,30091.58,1,274684,30092
Dominican Republic,214,15,19446.69,1,203390,19447
Ecuador,218,15,18223.565,1,182234,18224
Egypt,818,15,13805.015,1,96234,13805
El Salvador,222,15,20642.47,1,197370,20642
Equatorial Guinea,226,15,31901.76,1,163974,31902
Estonia,233,15,26929.735,1,143200,26930
Ethiopia,231,15,25827.45,1,198918,25827
Fiji,242,15,20535.78,1,140060,20536
Finland,246,15,34680.79,1,95116,34681
France,250,15,34905.28,1,112144,34905
French Polynesia,258,15,43295.27,1,1367056,43295
French Southern Territories,260,15,32715.815,1,138000,32716
Gabon,266,15,32715.815,1,140094,32716
Gambia,270,15,14772.615,1,210528,14773
Georgia,268,15,14772.615,1,117820,14773
Germany,276,15,33010.72,1,111026,33011
Ghana,288,15,19819.065,1,115068,19819
Gibraltar,292,15,32666.745,1,125044,32667
Greece,300,15,58908.54,1,123840,58909
Guam,316,15,48895.395,1,410908,48895
Guatemala,320,15,21456.25,1,184212,21456
Guernsey,831,15,42017.94,1,141126,42018
Guinea-Bissau,624,15,24892.585,1,180000,24893
Guyana,328,15,24892.585,1,237876,24893
Haiti,332,15,34330.25,1,26574,34330
Honduras,340,15,20578.315,1,81700,20578
Hong Kong,344,15,39729.135,1,164550,39729
Hungary,348,15,21022.545,1,144824,21023
Iceland,352,15,45182.335,1,397062,45182
India,356,15,12018.27,1,0,12018
Indonesia,360,15,16624.815,1,545928,16625
Iran,364,15,17457.345,1,83447,17457
Iraq,368,15,18430.61,1,67000,18431
Ireland,372,15,35708.075,1,132440,35708
Isle of Man,833,15,33895.03,1,59254,33895
Israel,376,15,39700.08,1,202530,39700
Italy,380,15,32068.235,1,90214,32068
Ivory Coast,225,15,26787.665,1,140982,26788
Jamaica,388,15,23414.28,1,182901,23414
Japan,392,15,39741.74,1,128202,39742
Jersey,832,15,42415.405,1,138267,42415
Jordan,400,15,24226.295,1,146360,24226
Kazakhstan,398,15,15286.065,1,139480,15286
Kenya,404,15,17829.72,1,89433,17830
Kosovo,383,15,13775.18,1,96087,13775
Kuwait,414,15,25446.16,1,150759,25446
Kyrgyzstan,417,15,13060.17,1,137881,13060
Latvia,428,15,25084.41,1,88695,25084
Lebanon,422,15,34294.68,1,160435,34295
Liberia,430,15,44778.585,1,180181,44779
Libyan Arab Jamahiriya,434,15,25483.27,1,120000,25483
Liechtenstein,438,15,48247.725,1,118460,48248
Lithuania,440,15,22557.815,1,124085,22558
Luxembourg,442,15,39917.18,1,112315,39917
Macao,446,15,33063.535,1,89000,33064
Madagascar,450,15,14218.75,1,571085,14219
Malawi,454,15,23930.545,1,152676,23931
Malaysia,458,15,16805.94,1,272339,16806
Maldives,462,15,28535.975,1,72880,28536
Malta,470,15,32145.85,1,87116,32146
Mayotte,175,15,39998.235,1,394738,39998
Mexico,484,15,17510.79,1,205728,17511
"Moldova, Republic of",498,15,15882.03,1,126064,15882
Monaco,492,15,59017.18,1,108035,59017
Mongolia,496,15,17350.925,1,61222,17351
Montenegro,499,15,19191.545,1,123268,19192
Morocco,504,15,16018.385,1,198760,16018
Myanmar,104,15,17739.02,1,170000,17739
Nepal,524,15,12320.54,1,76000,12321
Netherlands,528,15,36776.6,1,91429,36777
New Caledonia,540,15,48114.48,1,70000,48114
New Zealand,554,15,34226.73,1,668667,34227
Nicaragua,558,15,19902.005,1,262063,19902
Niger,562,15,27282.99,1,145940,27283
Nigeria,566,15,15838.735,1,145940,15839
North Macedonia,807,15,15989.32,1,168695,15989
Norway,578,15,45945.365,1,126518,45945
Oman,512,15,23938.155,1,47220,23938
Pakistan,586,15,11082.42,1,49000,11082
Palau,585,15,23486.315,1,18999,23486
"Palestinian Territory, Occupied",275,15,25576.65,1,163163,25577
Panama,591,15,25257.15,1,187795,25257
Papua New Guinea,598,15,39035.13,1,831685,39035
Paraguay,600,15,14830.84,1,246961,14831
Peru,604,15,15071.745,1,18595,15072
Philippines,608,15,19080.9,1,508026,19081
Poland,616,15,21610.335,1,121809,21610
Portugal,620,15,22950.7,1,112315,22951
Puerto Rico,630,15,32278.4,1,163779,32278
Qatar,634,15,31054.43,1,38131,31054
Republic Of Congo,242,15,41247.215,1,173001,41247
Romania,642,15,18012.395,1,109809,18012
Russia,643,15,18935.845,1,112871,18936
Rwanda,646,15,16222.73,1,129426,16223
"Saint Helena, Ascension and Tristan da Cunha",654,15,30940.06,1,40000,30940
Saint Vincent and the Grenadines,670,15,30281.68,1,257418,30282
San Marino,674,15,31980.215,1,417250,31980
Saudi Arabia,682,15,31980.215,1,136931,31980
Senegal,686,15,25900.035,1,280528,25900
Serbia,688,15,18191.05,1,124094,18191
Seychelles,690,15,32031.355,1,179124,32031
Singapore,702,15,35345.6,1,221805,35346
Slovakia,703,15,23375.07,1,89000,23375
Somalia,706,15,16703.565,1,120000,16704
South Africa,710,15,21846.125,1,200394,21846
South Korea,82,15,36277.61,1,279659,36278
Spain,724,15,26263.05,1,112315,26263
Sri Lanka,144,15,13458.87,1,27816,13459
Sudan,736,15,20154.955,1,75000,20155
Suriname,740,15,23780.96,1,269876,23781
Sweden,752,15,34734.08,1,100479,34734
Switzerland,756,15,58182.705,1,109157,58183
Syrian Arab Republic,760,15,13429.75,1,117600,13430
Taiwan,158,15,29977.735,1,261890,29978
Tajikistan,762,15,14517.06,1,80000,14517
"Tanzania, United Republic of",834,15,17224.805,1,139656,17225
Thailand,764,15,20330.8,1,203573,20331
Timor-Leste,626,15,27696.345,1,120000,27696
Trinidad and Tobago,780,15,25710.435,1,315379,25710
Tunisia,788,15,13320.25,1,140202,13320
Turkey,792,15,15160.035,1,124075,15160
Turkmenistan,795,15,65151.71,1,78000,65152
Uganda,800,15,17589.95,1,112334,17590
Ukraine,804,15,15453.675,1,112315,15454
United Arab Emirates,784,15,30940.45,1,337871,30940
United Kingdom,826,15,32701.61,1,108817,32702
United States Of America,840,15,34161.705,1,246961,34162
Uruguay,858,15,24651.07,1,130220,24651
Uzbekistan,860,15,14072.715,1,168755,14073
Vanuatu,548,15,37662.08,1,40000,37662
Venezuela,862,15,18715.4,1,272598,18715
Vietnam,704,15,16332.475,1,198775,16332
Yemen,887,15,24905.705,1,0,24906
Zambia,894,15,17512.185,1,144491,17512
Zimbabwe,716,15,21783.76,1,195599,21784
Afghanistan,4,7,7543.115,2,39400,7543
Aland Islands,248,7,17959.5025,2,418010,17960
Albania,8,7,8589.3725,2,125201,8589
Algeria,12,7,6873.6225,2,101874,6874
Andorra,20,7,14876.995,2,206880,14877
Angola,24,7,17900.375,2,111254,17900
Argentina,32,7,8151.6325,2,278260,8152
Armenia,51,7,8543.11,2,97962,8543
Aruba,533,7,18861.3075,2,16820,18861
Australia,36,7,17795.5725,2,62890,17796
Austria,40,7,18119.6575,2,98606,18120
Azerbaijan,31,7,7542.505,2,101659,7543
Bahamas,44,7,20347.925,2,236587,20348
Bahrain,48,7,14206.3925,2,57901,14206
Bangladesh,50,7,7220.2225,2,179036,7220
Barbados,52,7,20527.435,2,180061,20527
Belarus,112,7,7956.885,2,110818,7957
Belgium,56,7,17298.9525,2,118558,17299
Belize,84,7,11561.61,2,142518,11562
Bermuda,60,7,33818.5025,2,109374,33819
Bhutan,64,7,10048.51,2,130788,10049
Bolivia,68,7,8989.4575,2,337034,8989
Bosnia and Herzegovina,70,7,9232.475,2,83040,9232
Botswana,72,7,9559.955,2,157946,9560
Bouvet Island,74,7,30176.9725,2,239320,30177
Brazil,76,7,8528.0025,2,185726,8528
Brunei Darussalam,96,7,11664.645,2,180000,11665
Bulgaria,100,7,9347.9675,2,94306,9348
Burkina Faso,854,7,12432.2,2,167148,12432
Cambodia,116,7,10774.66,2,701466,10775
Cameroon,120,7,9716.045,2,169470,9716
Canada,124,7,16372.8925,2,192862,16373
Chile,152,7,11806.9825,2,185208,11807
China,156,7,10071.86,2,911994,10072
Christmas Island,162,7,6975.165,2,30000,6975
Colombia,170,7,6975.165,2,167320,6975
Congo,178,7,25660,2,245494,25660
Costa Rica,188,7,11695.9075,2,2716,11696
Curacao,599,7,16697.8475,2,185294,16698
Croatia,191,7,13450.5425,2,108840,13451
Cuba,192,7,10860.5975,2,208550,10861
Cyprus,196,7,14732.045,2,115634,14732
Czech Republic,203,7,11892.8675,2,95424,11893
Denmark,208,7,19980.2775,2,63260,19980
Djibouti,262,7,23312.26,2,116838,23312
Dominica,212,7,15045.79,2,259684,15046
Dominican Republic,214,7,9723.345,2,188390,9723
Ecuador,218,7,9111.7825,2,167234,9112
